sample,location,origin,sex,bites,hisses,retreats,vocalization,acceptance,sedating,healthy,dry_skin,stiff,agile,clear_eyes,sick_injured,coat_condition,age,comment
CaboVerde_514,CaboVerde,Feral,Female,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,Matted,3 years,
CaboVerde_515,CaboVerde,Feral,Male,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,Unknown,4 years,
Denmark_10,Denmark,Feral,Unknown,NO,YES,NO,YES,NA,YES,NO,NO,NO,NO,NO,NO,Unknown,Unknown,
Denmark_11,Denmark,Feral,Unknown,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,Unknown,Unknown,
Denmark_12,Denmark,Domestic,Unknown,NO,YES,NO,NA,NO,YES,NO,NO,NO,NO,NO,NO,Unknown,Unknown,
Denmark_13,Denmark,Domestic,Female,NO,NO,NO,NA,YES,NO,NO,NO,NO,NO,NO,NO,Unknown,Unknown,
Denmark_14,Denmark,Domestic,Unknown,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,Bad,Unknown,
Denmark_15,Denmark,Feral,Unknown,NO,NO,YES,NA,NA,NO,NO,NO,NO,NO,NO,NO,Unknown,Unknown,
Denmark_1,Denmark,Domestic,Unknown,NO,NO,NO,NA,NA,NO,NO,NO,NO,NO,NO,NO,Unknown,Unknown,Pregnant
Denmark_2,Denmark,Feral,Unknown,NO,YES,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,Unknown,Unknown,
Denmark_3,Denmark,Feral,Unknown,NO,NO,YES,YES,NA,NO,NO,NO,NO,NO,NO,NO,Bad,Unknown,
Denmark_4,Denmark,Feral,Unknown,NO,NO,NO,YES,NA,NO,NO,NO,NO,NO,NO,NO,Unknown,Unknown,
Denmark_5,Denmark,Domestic,Unknown,NO,NO,NO,NA,NA,NO,NO,NO,NO,NO,NO,NO,Unknown,Unknown,
Denmark_6,Denmark,Feral,Unknown,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,Unknown,Unknown,
Denmark_7,Denmark,Feral,Unknown,YES,YES,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,Unknown,Unknown,
Denmark_8,Denmark,Feral,Unknown,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,Unknown,Unknown,
Denmark_9,Denmark,Domestic,Unknown,NO,NO,NO,NA,NA,NO,NO,NO,YES,NO,NO,NO,Unknown,Unknown,
Malaysia_501,Malaysia,Domestic,Male,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,Healthy,1 year,Overweight
Malaysia_502,Malaysia,Domestic,Female,NO,NO,NO,NA,NA,NO,YES,NO,NO,NO,YES,NO,Healthy,1 year,
Malaysia_503,Malaysia,Domestic,Male,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,Healthy,1 year,
Malaysia_504,Malaysia,Domestic,Male,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,Healthy,6 months,
